Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
25-NOV-2025,23700.55,23745.5,23635.8,23655.05,2053977530,64646.9
24-NOV-2025,23827.25,23835.2,23642.55,23674.55,2959476022,130954.76
21-NOV-2025,23917.5,23938.3,23776.3,23790.25,2298585392,65706.1
20-NOV-2025,23984.4,24032.1,23918.8,23975.45,2955697821,72544.38
19-NOV-2025,23832.55,23924.3,23766.6,23906.3,2593488320,68474.15
18-NOV-2025,23970.45,23973.05,23800.95,23824.65,2112594964,73519.86
17-NOV-2025,23889.55,23964.75,23863.55,23954.55,2631139705,70659.35
14-NOV-2025,23751.25,23858.3,23717,23836.35,3964047813,86013.8
13-NOV-2025,23867.65,23935.1,23793.65,23816,3037180329,79618.14
12-NOV-2025,23796.95,23874.85,23766.2,23836.9,2814135378,88500.35
11-NOV-2025,23634.65,23693.8,23476.3,23682.65,3609409888,83666.68
10-NOV-2025,23545.35,23658.85,23542.1,23596.9,2082418577,74767.56
07-NOV-2025,23441.05,23570.1,23291.2,23521.5,2876263184,96784.14
06-NOV-2025,23683.35,23713.4,23501.05,23513.15,2624601878,92332.79
04-NOV-2025,23811.3,23829.7,23660.2,23675.45,3128490717,84046.19
03-NOV-2025,23711.95,23840.1,23695.15,23810.7,4238426359,77447.88
31-OCT-2025,23847.6,23913.45,23698.05,23710.4,3213345729,93045.83
30-OCT-2025,23933.65,23949.75,23804.45,23841.3,4777088281,85117.8
29-OCT-2025,23851.55,23971.55,23821.3,23952.4,3035898490,92831.63
28-OCT-2025,23844.75,23907.55,23717.05,23812.55,3399680297,91743.52
27-OCT-2025,23742.7,23856.3,23723.4,23840.9,4714669733,74511.31
24-OCT-2025,23796.2,23802.75,23622.8,23686.6,2386118868,66872.48
23-OCT-2025,23899.75,23926.1,23727.6,23755.9,3380895846,93576.32
21-OCT-2025,23791.9,23818.35,23723.4,23759.2,554547944,13122.04
20-OCT-2025,23699.35,23766.55,23654.75,23716.1,2366392268,78266.71
17-OCT-2025,23547,23679.05,23515.85,23598.05,2424903090,87424.32
16-OCT-2025,23443.3,23592.85,23428.15,23563.8,2245759058,81622.54
15-OCT-2025,23227.55,23400.95,23224.15,23377.35,2313925374,73882.14
14-OCT-2025,23349.75,23374,23121.5,23184.05,2346426788,72389.47
13-OCT-2025,23245.05,23315.65,23201.55,23294.8,2623096603,66727.85
10-OCT-2025,23247.45,23374.25,23220.05,23337.55,2817528890,72731.68
09-OCT-2025,23144.3,23251.65,23101.85,23241.75,2181993612,68120.62
08-OCT-2025,23197.95,23265.2,23087.9,23109.35,2554774781,67947.97
07-OCT-2025,23191.35,23275.1,23170.85,23209.5,2955320339,75433.04
06-OCT-2025,23055.15,23177.25,23008.3,23169.65,2716653000,70900.53
03-OCT-2025,22905.1,23037.5,22874.15,23027.7,2496262558,87205.82
01-OCT-2025,22745.95,22943.2,22726.25,22928.3,2297302092,80373.9
30-SEP-2025,22793.65,22829.2,22669.3,22734.1,2176230104,83496.37
29-SEP-2025,22783.9,22865.1,22677,22739.1,2709087711,111450.73
26-SEP-2025,22965.9,22994.15,22692.7,22713.15,3064275966,78065.88
25-SEP-2025,23169.45,23235.55,23009.55,23022.4,2315120592,80403.11
24-SEP-2025,23293.4,23317.2,23165.95,23178.25,2239198714,73191.6
23-SEP-2025,23408.2,23434.3,23253.1,23325.25,2976679386,84838
22-SEP-2025,23434.75,23523.55,23335.1,23381.45,2624970390,82516
19-SEP-2025,23530.6,23541.3,23451.6,23486.65,4927091950,112953.61
18-SEP-2025,23534.15,23538.9,23434.45,23518.9,2122913596,74945.21
17-SEP-2025,23419.1,23464.4,23395.75,23445.2,2265541425,74653.76
16-SEP-2025,23240.25,23386.65,23217.3,23369.3,2372002424,69438.26
15-SEP-2025,23213.15,23249.2,23182.05,23215.85,3309950844,62955.58
12-SEP-2025,23171.55,23210.4,23129.9,23190.25,2596050320,70672.84
11-SEP-2025,23073.45,23128.55,23065.7,23102.65,2145968911,74196.51
10-SEP-2025,23056.8,23121.75,23027.05,23074.15,2367614060,69349.81
09-SEP-2025,22949.55,22964.05,22893.05,22949.1,2010928320,56901.71
08-SEP-2025,22892.8,22974.85,22835.9,22878.65,2299628386,59253.2
05-SEP-2025,22891.75,22916,22718.5,22829.15,3447324689,61225.59
04-SEP-2025,23116.9,23116.9,22795,22819.65,3011809920,81710.49
03-SEP-2025,22764,22877.35,22709.2,22864.65,3099428223,72038.77
02-SEP-2025,22758.2,22858.2,22678.45,22724.4,2719306900,68531.75
01-SEP-2025,22491.9,22720.55,22491.9,22713.55,2711533790,65828.19
29-AUG-2025,22524.15,22624.7,22443.8,22462.95,2876456343,74820.72
28-AUG-2025,22762.25,22762.25,22529.6,22541.65,2918941120,87203.22
26-AUG-2025,22994.85,23013.05,22746.75,22768.65,4447916261,124368.44
25-AUG-2025,23069.3,23106.9,23022.1,23052,2745502008,62192.41
22-AUG-2025,23133.85,23144.55,22980.85,22991.3,3223528373,61311.1
21-AUG-2025,23221.75,23230.95,23126.75,23137.15,2342917634,77424.18
20-AUG-2025,23067.7,23171.15,23025.85,23143.15,2925327540,74477.32
19-AUG-2025,22959.5,23077.1,22908.15,23066.6,2325042242,67565.6
18-AUG-2025,22958.3,23040.85,22913.05,22931.5,2389678600,87578.2
14-AUG-2025,22713.65,22754.15,22646.7,22680.25,2056948849,65640.61
13-AUG-2025,22655.15,22733.8,22624.45,22698.1,2094136243,68829.66
12-AUG-2025,22633.65,22730.25,22554.3,22568.6,1512961043,61616.81
11-AUG-2025,22447.55,22650.1,22406,22633.45,1538568678,64340.74
08-AUG-2025,22680.9,22690.35,22419.7,22443.15,1706464753,81985.79
07-AUG-2025,22563.4,22726.9,22425.85,22694.1,2051703407,79884.39
06-AUG-2025,22807.55,22818.2,22622.35,22666.85,1576344145,69247.01
05-AUG-2025,22869.5,22878.1,22736.05,22798.5,1735090858,70925.06
04-AUG-2025,22699.7,22871.6,22648.6,22860.4,1895803473,67253.57
01-AUG-2025,22901.6,22917.85,22646.75,22673.65,2220917486,76532.28
31-JUL-2025,22804.2,23071.25,22802.15,22914.95,2214101532,87341.83
30-JUL-2025,23064.25,23070.35,22959.45,23033.55,1697161959,68131.28
29-JUL-2025,22793,23024.15,22777.7,23007.35,1735802515,73558.17
28-JUL-2025,22967.4,23094.85,22818.15,22846.95,2026364448,70338.58
25-JUL-2025,23255.25,23255.25,22993,23014.8,2195825744,75633.55
24-JUL-2025,23447.35,23449.4,23257.6,23301.1,1969073067,77473.28
23-JUL-2025,23382.4,23435.55,23296,23428.4,1995956007,73252.1
22-JUL-2025,23449.75,23456,23306.4,23320.9,2031812918,80149.39
21-JUL-2025,23296.75,23394.5,23184.9,23378.45,1759544320,68107.89
18-JUL-2025,23430,23449.45,23240.85,23275.15,1971061232,72305.23
17-JUL-2025,23507.65,23514.7,23409.05,23419.7,2195098616,74135.99
16-JUL-2025,23458.9,23502.9,23403.5,23472.5,2858894576,73895.98
15-JUL-2025,23334.55,23469.45,23332.8,23449.15,2709069677,76469.04
14-JUL-2025,23290.15,23329.2,23200.1,23309.05,3997772876,80060.37
11-JUL-2025,23408.8,23462.35,23256.3,23282.7,2231874802,77835.88
10-JUL-2025,23595.85,23605.5,23444.95,23471.4,2022308976,67281.5
09-JUL-2025,23576.45,23613.9,23513.85,23557.45,2348736612,74180.3
08-JUL-2025,23540.6,23600.35,23469.95,23572.55,2930217619,72719.4
07-JUL-2025,23561.6,23595.3,23506.5,23551.2,2422513949,57859.16
04-JUL-2025,23553.45,23570.9,23448.9,23562.45,1879048138,70306.02
03-JUL-2025,23591.8,23647.1,23503.55,23521.85,2357618494,76882.5
02-JUL-2025,23653.05,23669.3,23463.85,23547.25,2620390772,81637.23
01-JUL-2025,23659.75,23669.95,23558.9,23615.45,2565390058,83693.8
30-JUN-2025,23672.35,23677.55,23563,23617.2,2461348827,90104.23
27-JUN-2025,23566.7,23644.35,23538.55,23620.15,3423284634,135018.53
26-JUN-2025,23341.2,23529.65,23319.85,23517.55,2922694268,98785.87
25-JUN-2025,23216.15,23303.65,23190.85,23296.85,3045279437,83671.28
24-JUN-2025,23212.3,23307.95,23074.25,23113.2,3108757583,95206.77
23-JUN-2025,22880.35,23063.35,22837.8,23001.5,2093700999,76838.45
20-JUN-2025,22760.65,23064.7,22760.6,23041.1,3254963600,140283.69
19-JUN-2025,22921.6,22973.15,22712.55,22763.5,2389378870,74401.91
18-JUN-2025,22937.75,23066.85,22868.35,22925.2,1950770329,75403.48
17-JUN-2025,23126.8,23128.5,22959.15,22981.5,2947987402,86874.43
16-JUN-2025,22914.85,23106.7,22789.4,23095.05,2351850067,73767.57
13-JUN-2025,22631.7,22932.25,22631.7,22906.2,2553330578,86245.25
12-JUN-2025,23363.5,23370.3,23009.65,23046.45,2576209064,91887.39
11-JUN-2025,23376.6,23423.6,23271.4,23337.85,3579625281,96402.11
10-JUN-2025,23422.3,23423.8,23287.35,23339.95,3082009890,94776.63
09-JUN-2025,23308.65,23335.35,23254.55,23330.55,3180558025,93051.43
06-JUN-2025,22962,23180.35,22891.6,23165.1,2917887629,107492.95
05-JUN-2025,22879.2,23026.3,22828.85,22934.5,2552379535,100542.23
04-JUN-2025,22742.2,22823.95,22667.9,22807.85,3151469831,94653.79
03-JUN-2025,22906.2,22946.15,22691.25,22711.3,4543550869,98343.78
02-JUN-2025,22758.6,22863.35,22664.15,22834.5,3889942785,89672.83
30-MAY-2025,22868.25,22912.3,22759.15,22801.95,5212818401,149673.09
29-MAY-2025,22859.45,22899.15,22750.15,22861.35,2618095254,89813.84
28-MAY-2025,22843.25,22871.2,22765.7,22779.4,3299141014,95277.13
27-MAY-2025,22895.05,22963.1,22721.8,22816.5,2465907563,103402.78
26-MAY-2025,22852.7,22970.7,22845.4,22908.3,2489824846,75238.16
23-MAY-2025,22628.75,22813.25,22580.8,22781.05,2549938267,78693.36
22-MAY-2025,22674,22675.35,22464.45,22595,2451986784,91345.52
21-MAY-2025,22632.4,22811.95,22577.4,22730.65,2422786618,83302.61
20-MAY-2025,22942.65,22958.6,22565.55,22585.6,2872955317,99442.63
19-MAY-2025,22896.25,22965.05,22827.65,22865.8,3861105061,96396.98
16-MAY-2025,22825.55,22885.35,22750.35,22870.9,3213675531,132547.9
15-MAY-2025,22547.05,22814.1,22408.65,22788.8,2875837613,110620.39
14-MAY-2025,22402.65,22544.9,22366.4,22499.5,2539598652,99117.63
13-MAY-2025,22491.5,22575.7,22317.5,22349.4,2588028924,100344.03
12-MAY-2025,22149.4,22525,22126.4,22511.4,2945351144,91122.42
09-MAY-2025,21463.75,21716.05,21463.75,21675.55,2860137749,82661.5
08-MAY-2025,22109.35,22145.2,21730.55,21843.05,2455656286,93122.42
07-MAY-2025,21756.8,22084.7,21752.9,22072.45,2386243472,89673.87
06-MAY-2025,22235.6,22244.5,21916.9,21956.6,2381373406,79384.26
05-MAY-2025,22086.25,22209.95,22070.95,22195.15,1817617225,78635.48
02-MAY-2025,22009.95,22238.9,21920.85,22006,2106053122,87309.72
30-APR-2025,22119.2,22175,21920.55,22030.05,2190852411,97900.49
29-APR-2025,22160.75,22255.9,22084.55,22112.4,2189178548,91388.1
28-APR-2025,21843.45,22125.45,21841.4,22101.85,2025395201,78912.2
25-APR-2025,22220.3,22271.85,21661.6,21848.15,4098236380,99678.14
24-APR-2025,22217.65,22270.15,22155.4,22180.65,2434856288,95275.33
23-APR-2025,22238.6,22263.85,21988.35,22237.6,2625770895,101379.21
22-APR-2025,22072,22157.95,21953.4,22085.15,2839952324,94522.17
21-APR-2025,21787.05,22033.75,21732.45,22005.75,3318620552,91564.24
17-APR-2025,21379.35,21704.1,21296.35,21681.55,2452911873,90149.35
16-APR-2025,21302.75,21414.85,21246.4,21404.35,2306862681,79704.38
15-APR-2025,21199.05,21302.75,21067.6,21279.4,2310441317,88221.07
11-APR-2025,20684.85,20817.5,20629,20752.85,2214958998,82830.7
09-APR-2025,20422.95,20423.25,20252.35,20356.75,2068626830,72007.59
08-APR-2025,20430.1,20588.4,20227.15,20480.8,2410156143,84031.71
07-APR-2025,19524.25,20189.35,19519.85,20105.7,3189917820,107554.03
04-APR-2025,21199.2,21212.1,20736.8,20805.35,2537195788,87623.2
03-APR-2025,21100.55,21263.45,21096.75,21243.4,2435646555,76388.65
02-APR-2025,21101.85,21279.1,21007.15,21265.65,2568917368,67877.01
01-APR-2025,21227.1,21398.35,21042.45,21070.75,3960064673,74888.32
