Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,21439.2,21514.1,21277.9,21339.55,2888247046,90757.05
27-MAR-2025,21218.4,21447.9,21195.7,21407.95,4346988667,129094.7
26-MAR-2025,21464.95,21525.6,21255.7,21275.45,2441052565,79571.92
25-MAR-2025,21652.85,21674.05,21385.8,21437.75,2438466361,92187.05
24-MAR-2025,21427.2,21595.85,21346.8,21538.1,2609714689,89496.51
21-MAR-2025,21065.25,21297,21031.45,21273.9,3553736048,132525.69
20-MAR-2025,20989.35,21092.2,20873.55,21070.05,2316042501,88083.72
19-MAR-2025,20713.25,20895.25,20664,20864.5,2750885277,85448.29
18-MAR-2025,20418.55,20676.95,20370.2,20657.2,1945919095,72343.55
17-MAR-2025,20166.6,20358.25,20166.5,20288.3,1666067471,62528.05
13-MAR-2025,20337.85,20357.3,20157.5,20176.05,1790961966,61473.18
12-MAR-2025,20351.9,20397.95,20108.7,20264.35,2152382085,74566.3
11-MAR-2025,20122.55,20333.75,20073.4,20302.5,2006924829,73938.55
10-MAR-2025,20434.95,20543.7,20230.65,20266.5,1995683586,65725.28
07-MAR-2025,20428.15,20549.2,20377.6,20443.4,2018573615,68521.49
06-MAR-2025,20411.45,20467.15,20262.75,20447.1,2074511409,80518
05-MAR-2025,19901.6,20265.05,19901.6,20256.5,2158777579,81585.47
04-MAR-2025,19736.05,19957.5,19681.65,19917.85,2094841653,74049.56
03-MAR-2025,19935.55,19997.05,19658.3,19896.95,2364683403,80282.83
28-FEB-2025,20185.4,20197.85,19816,19880.9,3027888284,131599.53
27-FEB-2025,20436.5,20471.85,20278.65,20315.55,1918601840,82932.55
25-FEB-2025,20445.55,20548.9,20388.75,20418.75,1445662333,64006.81
24-FEB-2025,20510.95,20546.05,20429.3,20468.45,1442187583,59805.02
21-FEB-2025,20792.05,20903.35,20616.6,20690.25,1838864109,71708.79
20-FEB-2025,20645.7,20840.35,20630.2,20831.1,1645754047,66824.88
19-FEB-2025,20511.2,20802.55,20459.2,20731.45,1791180337,68291.9
18-FEB-2025,20663.6,20692.3,20466.75,20611.4,1724647046,62888.02
17-FEB-2025,20511.05,20667.55,20339,20652.35,2003247833,65931.88
14-FEB-2025,20964.6,20984.7,20476.65,20633.1,2047866992,69173.56
13-FEB-2025,20926,21122,20866.5,20904.35,2130089939,69663.41
12-FEB-2025,20924.15,21002,20545.75,20907.85,2543733164,84680.33
11-FEB-2025,21366.25,21376.45,20860.6,20950.45,1784115065,71517
10-FEB-2025,21636.2,21659.25,21301.85,21371.3,1464612272,59920.47
07-FEB-2025,21703.75,21765.15,21521.75,21646.15,2114472595,73141.91
06-FEB-2025,21860.1,21870.9,21620.15,21672.45,1573108608,72471.74
05-FEB-2025,21797.7,21870.4,21763.7,21784.25,1968683978,78947.28
04-FEB-2025,21551.4,21743.55,21474.45,21727.45,2154156748,88167.59
03-FEB-2025,21422.85,21445.95,21286.7,21402.55,2272797887,89782.58
01-FEB-2025,21628.65,21713.95,21388.2,21581.75,3025726587,87389.5
31-JAN-2025,21339.35,21613,21310.3,21580.9,2274932839,86911.63
30-JAN-2025,21282.1,21404.2,21209.6,21297.5,2020386854,89384.33
29-JAN-2025,20971.4,21259.85,20968.35,21245.5,1881173467,74954.43
28-JAN-2025,21009.2,21100.45,20757.9,20924.75,2493193415,95131.14
27-JAN-2025,21158.85,21163,20861.15,20910.95,2304552604,77938.55
24-JAN-2025,21533.05,21611.2,21279,21318.9,1753481328,74877.37
23-JAN-2025,21377.8,21595,21338.95,21538.05,1837372936,78714.56
22-JAN-2025,21484.45,21500.3,21178.8,21396.55,2088412411,80124.79
